,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính quý 3/ 2024,Ngân hàng TMCP An Bình, ,30/10/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 3/ 2024,./crawl_table/ABB/NO_NAME_30_10_2024 00_00_00
1,2,Báo cáo tài chính quý 3/ 2024 của công ty mẹ,Ngân hàng TMCP An Bình, ,30/10/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 3/ 2024 của công ty mẹ,./crawl_table/ABB/NO_NAME_30_10_2024 00_00_00__1
2,3,Báo cáo tài chính bán niên 2024,Ngân hàng TMCP An Bình, ,30/08/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính bán niên 2024,./crawl_table/ABB/NO_NAME_30_08_2024 00_00_00
3,4,Báo cáo tài chính bán niên 2024 của công ty mẹ,Ngân hàng TMCP An Bình, ,19/08/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính bán niên 2024 của công ty mẹ,./crawl_table/ABB/NO_NAME_19_08_2024 00_00_00
4,5,Báo cáo tài chính quý 2/ 2024,Ngân hàng TMCP An Bình, ,30/07/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 2/ 2024,./crawl_table/ABB/NO_NAME_30_07_2024 00_00_00
5,6,Báo cáo tài chính quý 2/ 2024 của công ty mẹ,Ngân hàng TMCP An Bình, ,30/07/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 2/ 2024 của công ty mẹ,./crawl_table/ABB/NO_NAME_30_07_2024 00_00_00__1
6,7,Báo cáo tài chính quý 1/ 2024 của công ty mẹ,Ngân hàng TMCP An Bình, ,26/04/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 1/ 2024 của công ty mẹ,./crawl_table/ABB/NO_NAME_26_04_2024 00_00_00
7,8,Báo cáo tài chính quý 1/ 2024,Ngân hàng TMCP An Bình, ,26/04/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính quý 1/ 2024,./crawl_table/ABB/NO_NAME_26_04_2024 00_00_00__1
8,9,Báo cáo tài chính năm 2023,Ngân hàng TMCP An Bình, ,30/03/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính năm 2023,./crawl_table/ABB/NO_NAME_30_03_2024 00_00_00
9,10,Báo cáo tài chính năm 2023 của công ty mẹ,Ngân hàng TMCP An Bình, ,30/03/2024 00:00:00,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính năm 2023 của công ty mẹ,./crawl_table/ABB/NO_NAME_30_03_2024 00_00_00__1
10,11,Báo cáo tài chính Mẹ - Quý 4/ 2023,Ngân hàng TMCP An Bình,BCRC Quý 4/2023 - Riêng lẻ,29/01/2024 08:21:25,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Quý 4/ 2023,./crawl_table/ABB/NO_NAME_29_01_2024 08_21_25
11,12,Báo cáo tài chính hợp nhất quý 4/ năm 2023,Ngân hàng TMCP An Bình,BCTC Quý 4/2023 - Hợp nhất,29/01/2024 08:12:47,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính hợp nhất quý 4/ năm 2023,./crawl_table/ABB/NO_NAME_29_01_2024 08_12_47
12,13,Báo cáo tài chính Hợp nhất - Quý,Ngân hàng TMCP An Bình,BCTC Hợp nhất Quý 3/2023,30/10/2023 09:40:08,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/ABB/NO_NAME_30_10_2023 09_40_08
13,14,Báo cáo tài chính Mẹ - Quý,Ngân hàng TMCP An Bình,BCTC Riêng lẻ Quý 3/2023,30/10/2023 09:17:54,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Quý,./crawl_table/ABB/NO_NAME_30_10_2023 09_17_54
14,15,Báo cáo tài chính Hợp nhất - Bán niên,Ngân hàng TMCP An Bình,BCTC bán niên hợp nhất soát xét,25/08/2023 09:24:05,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/ABB/NO_NAME_25_08_2023 09_24_05
15,16,Báo cáo tài chính Mẹ - Bán niên năm 2023,Ngân hàng TMCP An Bình,BCTC bán niên riêng lẻ,18/08/2023 13:41:51,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Bán niên năm 2023,./crawl_table/ABB/NO_NAME_18_08_2023 13_41_51
16,17,Báo cáo tài chính hợp nhất quý 2/ năm 2023,Ngân hàng TMCP An Bình,BCTC Quý 2 - Hợp nhất,20/07/2023 15:31:08,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính hợp nhất quý 2/ năm 2023,./crawl_table/ABB/NO_NAME_20_07_2023 15_31_08
17,18,Báo cáo tài chính Mẹ - Quý 2/ 2023,Ngân hàng TMCP An Bình,BCTC Quý 2 - Riêng lẻ,20/07/2023 15:16:07,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Quý 2/ 2023,./crawl_table/ABB/NO_NAME_20_07_2023 15_16_07
18,19,Báo cáo tài chính Hợp nhất - Quý,Ngân hàng TMCP An Bình,BCTC qíu 1/2023 Hợp nhất,21/04/2023 11:44:13,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/ABB/NO_NAME_21_04_2023 11_44_13
19,20,Báo cáo tài chính Mẹ - Quý,Ngân hàng TMCP An Bình,BCTC quý 1/2023 Riêng lẻ,20/04/2023 16:12:42,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Quý,./crawl_table/ABB/NO_NAME_20_04_2023 16_12_42
20,21,Báo cáo tài chính Mẹ - Năm,Ngân hàng TMCP An Bình,BCTC 2022 kiểm toán - Riêng lẻ,31/03/2023 15:37:39,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Năm,./crawl_table/ABB/NO_NAME_31_03_2023 15_37_39
21,22,Báo cáo tài chính Hợp nhất - Năm,Ngân hàng TMCP An Bình,BCTC 2022 kiểm toán - Hợp nhất,22/03/2023 09:22:52,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Hợp nhất - Năm,./crawl_table/ABB/NO_NAME_22_03_2023 09_22_52
22,23,Báo cáo tài chính hợp nhất quý 4/ năm 2022,Ngân hàng TMCP An Bình,BCTC quý 4/2022 - Hợp nhất,19/01/2023 14:26:35,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính hợp nhất quý 4/ năm 2022,./crawl_table/ABB/NO_NAME_19_01_2023 14_26_35
23,24,Báo cáo tài chính Mẹ - Quý 4/ 2022,Ngân hàng TMCP An Bình,BCTC quý 4/2022 - Riêng lẻ,19/01/2023 14:18:33,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính Mẹ - Quý 4/ 2022,./crawl_table/ABB/NO_NAME_19_01_2023 14_18_33
24,25,Báo cáo tài chính hợp nhất quý 3/ năm 2022,Ngân hàng TMCP An Bình,BCTC Quý 3/2022 - Hợp nhất,20/10/2022 15:01:07,0301412222,Ngân hàng TMCP An Bình,Báo cáo tài chính hợp nhất quý 3/ năm 2022,./crawl_table/ABB/NO_NAME_20_10_2022 15_01_07
