,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
31,32,Báo cáo tài chính Riêng bán niên 2019,CTCP Thủy sản Mekong,Báo cáo tài chính 06 tháng đầu năm 2019 đã kiểm toán,06/08/2019 09:25:47,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng bán niên 2019,./crawl_table/AAM/Báo cáo tài chính 06 tháng đầu năm 2019 đã kiểm toán_06_08_2019 09_25_47
32,33,Báo cáo tài chính Riêng quý II/ 2019,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 2 năm 2019 (trước kiểm toán),11/07/2019 19:53:48,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý II/ 2019,./crawl_table/AAM/Báo cáo tài chính Quý 2 năm 2019 (trước kiểm toán)_11_07_2019 19_53_48
33,34,Báo cáo tài chính Riêng quý I/ 2019,CTCP Thủy sản Mekong,Báo cáo tài chính quý 1 năm 2019 trước kiểm toán,12/04/2019 10:51:35,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý I/ 2019,./crawl_table/AAM/Báo cáo tài chính quý 1 năm 2019 trước kiểm toán_12_04_2019 10_51_35
34,35,Báo cáo tài chính Riêng năm 2018,CTCP Thủy sản Mekong,Báo cáo tài chính năm 2018 đã được kiểm toán,21/02/2019 14:04:18,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng năm 2018,./crawl_table/AAM/Báo cáo tài chính năm 2018 đã được kiểm toán_21_02_2019 14_04_18
35,36,Báo cáo tài chính Riêng quý IV/ 2018,CTCP Thủy sản Mekong,Báo cáo Tài chính Quý 4 năm 2018 (Trước kiểm toán),15/01/2019 08:29:43,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý IV/ 2018,./crawl_table/AAM/Báo cáo Tài chính Quý 4 năm 2018 (Trước kiểm toán)_15_01_2019 08_29_43
36,37,Báo cáo tài chính Riêng quý III/ 2018,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 3/2018 (Trước kiểm toán),11/10/2018 15:01:48,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý III/ 2018,./crawl_table/AAM/Báo cáo tài chính Quý 3_2018 (Trước kiểm toán)_11_10_2018 15_01_48
37,38,Báo cáo tài chính Riêng bán niên 2018,CTCP Thủy sản Mekong,Báo cáo tài chính 06 tháng đầu năm 2018 (đã kiểm toán),13/08/2018 10:24:35,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng bán niên 2018,./crawl_table/AAM/Báo cáo tài chính 06 tháng đầu năm 2018 (đã kiểm toán)_13_08_2018 10_24_35
38,39,Báo cáo tài chính Riêng quý II/ 2018,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 2/2018 (Trước kiểm toán),17/07/2018 09:54:09,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý II/ 2018,./crawl_table/AAM/Báo cáo tài chính Quý 2_2018 (Trước kiểm toán)_17_07_2018 09_54_09
39,40,Báo cáo tài chính Riêng quý I/ 2018,CTCP Thủy sản Mekong,Báo cáo tài chính quý 1/2018 và Giải trình Lợi nhuận sau thuế quý 1/2018 so với cùng kỳ năm trước.,16/04/2018 15:06:44,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý I/ 2018,./crawl_table/AAM/Báo cáo tài chính quý 1_2018 và Giải trình Lợi nhuận sau thuế quý 1_2018 so với cùng kỳ năm trước._16_04_2018 15_06_44
40,41,Báo cáo tài chính Riêng năm 2017,CTCP Thủy sản Mekong,Báo cáo tài chính năm 2017 (đã kiểm toán),02/03/2018 11:48:00,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng năm 2017,./crawl_table/AAM/Báo cáo tài chính năm 2017 (đã kiểm toán)_02_03_2018 11_48_00
41,42,Báo cáo tài chính Riêng quý IV/ 2017,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 4 năm 2017 (Trước kiểm toán),17/01/2018 10:29:15,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng quý IV/ 2017,./crawl_table/AAM/Báo cáo tài chính Quý 4 năm 2017 (Trước kiểm toán)_17_01_2018 10_29_15
