,symbol
0,VIC
1,HPG
2,MSN
3,FPT
4,VPB
5,VNM
6,BVH
7,VCB
8,CTG
9,SSI
10,MBB
11,HDB
12,TPB
13,STB
14,SAB
15,PLX
16,POW
17,PVD
18,NVL
19,GAS
