,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
31,32,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý II năm 2022,29/07/2022 17:38:05,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/BCTC Riêng Quý II năm 2022_29_07_2022 17_38_05
32,33,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý I năm 2022,27/04/2022 13:09:02,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/BCTC Hợp nhất Quý I năm 2022_27_04_2022 13_09_02
33,34,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý I năm 2022,27/04/2022 13:04:11,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/BCTC Riêng Quý I năm 2022_27_04_2022 13_04_11
34,35,Báo cáo tài chính Hợp nhất - Năm,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất năm 2021,22/03/2022 14:23:54,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Năm,./crawl_table/AAV/BCTC Hợp nhất năm 2021_22_03_2022 14_23_54
35,36,Báo cáo tài chính Mẹ - Năm,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Năm 2021,21/03/2022 14:54:01,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Năm,./crawl_table/AAV/BCTC Riêng Năm 2021_21_03_2022 14_54_01
36,37,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý IV năm 2021,27/01/2022 13:57:53,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/BCTC Riêng Quý IV năm 2021_27_01_2022 13_57_53
37,38,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý IV năm 2021,26/01/2022 15:59:06,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/BCTC Hợp nhất Quý IV năm 2021_26_01_2022 15_59_06
38,39,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý III năm 2021,27/10/2021 14:40:14,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý III năm 2021_27_10_2021 14_40_14
39,40,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý III năm 2021,27/10/2021 14:33:27,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/Báo cáo tài chính Riêng Quý III năm 2021_27_10_2021 14_33_27
40,41,Báo cáo tài chính Mẹ - Bán niên,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính riêng Bán niên năm 2021 đã soát xét,04/08/2021 18:25:09,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Bán niên,./crawl_table/AAV/Báo cáo tài chính Mẹ - Bán niên_04_08_2021 18_25_09
41,42,Báo cáo tài chính Hợp nhất - Bán niên,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất Bán niên năm 2021 đã soát xét,04/08/2021 18:11:58,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/AAV/Báo cáo tài chính Hợp nhất - Bán niên_04_08_2021 18_11_58
42,43,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý II năm 2021,20/07/2021 16:03:08,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý II năm 2021_20_07_2021 16_03_08
43,44,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính riêng Quý II năm 2021,20/07/2021 15:55:14,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/Báo cáo tài chính riêng Quý II năm 2021_20_07_2021 15_55_14
44,45,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,AAV - Báo cáo tài chính Hợp nhất Quý I năm 2021,19/04/2021 15:25:59,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/AAV - Báo cáo tài chính Hợp nhất Quý I năm 2021_19_04_2021 15_25_59
45,46,Báo cáo tài chính Mẹ - Quý,CÔNG TY CỔ PHẦN AAV GROUP,AAV - Báo cáo tài chính Riêng Quý I năm 2021,19/04/2021 15:14:43,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAV/AAV - Báo cáo tài chính Riêng Quý I năm 2021_19_04_2021 15_14_43
46,47,Báo cáo tài chính hợp nhất năm 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất năm 2020,05/02/2021 15:49:05,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất năm 2020,./crawl_table/AAV/Báo cáo tài chính Hợp nhất năm 2020_05_02_2021 15_49_05
47,48,Báo cáo tài chính Riêng năm 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2020,03/02/2021 20:41:24,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2020,./crawl_table/AAV/Báo cáo tài chính Riêng năm 2020_03_02_2021 20_41_24
48,49,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý IV năm 2020,19/01/2021 16:49:50,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/BCTC Hợp nhất Quý IV năm 2020_19_01_2021 16_49_50
49,50,Báo cáo tài chính Riêng - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý IV năm 2020,19/01/2021 15:13:47,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng - Quý,./crawl_table/AAV/BCTC Riêng Quý IV năm 2020_19_01_2021 15_13_47
50,51,Báo cáo tài chính Hợp nhất quý III/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý III năm 2020,15/10/2020 14:54:27,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý III/ 2020,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý III năm 2020_15_10_2020 14_54_27
51,52,Báo cáo tài chính Riêng quý III/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý III năm 2020,15/10/2020 14:52:27,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý III/ 2020,./crawl_table/AAV/Báo cáo tài chính Riêng Quý III năm 2020_15_10_2020 14_52_27
52,53,Báo cáo tài chính Hợp nhất bán niên 2020,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất bán niên năm 2020,07/08/2020 15:37:56,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất bán niên 2020,./crawl_table/AAV/BCTC Hợp nhất bán niên năm 2020_07_08_2020 15_37_56
53,54,Báo cáo tài chính Riêng bán niên 2020,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng bán niên năm 2020,07/08/2020 14:40:41,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng bán niên 2020,./crawl_table/AAV/BCTC Riêng bán niên năm 2020_07_08_2020 14_40_41
