,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính quý 3/ 2024,CTCP Bia Sài Gòn - Bạc Liêu, ,17/10/2024 00:00:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 3/ 2024,./crawl_table/SBL/Báo cáo tài chính quý 3_ 2024_17_10_2024 00_00_00
1,2,Báo cáo tài chính bán niên 2024,CTCP Bia Sài Gòn - Bạc Liêu, ,12/08/2024 00:00:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên 2024,./crawl_table/SBL/Báo cáo tài chính bán niên 2024_12_08_2024 00_00_00
2,3,Báo cáo tài chính quý 2/ 2024,CTCP Bia Sài Gòn - Bạc Liêu, ,16/07/2024 00:00:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 2/ 2024,./crawl_table/SBL/Báo cáo tài chính quý 2_ 2024_16_07_2024 00_00_00
3,4,Báo cáo tài chính quý 1/ 2024,CTCP Bia Sài Gòn - Bạc Liêu, ,15/04/2024 00:00:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1/ 2024,./crawl_table/SBL/Báo cáo tài chính quý 1_ 2024_15_04_2024 00_00_00
4,5,Báo cáo tài chính năm 2023,CTCP Bia Sài Gòn - Bạc Liêu, ,15/03/2024 00:00:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính năm 2023,./crawl_table/SBL/Báo cáo tài chính năm 2023_15_03_2024 00_00_00
5,6,Báo cáo tài chính quý 4/ năm 2023,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 4 năm 2023 kèm giải trình,17/01/2024 20:19:20,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4/ năm 2023,./crawl_table/SBL/Báo cáo tài chính Quý 4 năm 2023 kèm giải trình_17_01_2024 20_19_20
6,7,Báo cáo tài chính quý 3/ năm 2023,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 3 năm 2023 kèm giải trình,18/10/2023 18:12:50,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 3/ năm 2023,./crawl_table/SBL/Báo cáo tài chính Quý 3 năm 2023 kèm giải trình_18_10_2023 18_12_50
7,8,Báo cáo tài chính Riêng - bán niên năm 2023,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên (06 tháng) năm 2023 đã soát xét kèm giải trình,12/08/2023 12:45:50,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - bán niên năm 2023,./crawl_table/SBL/Báo cáo tài chính Riêng - bán niên năm 2023_12_08_2023 12_45_50
8,9,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 2 năm 2023 kèm giải trình,12/07/2023 17:32:58,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính Quý 2 năm 2023 kèm giải trình_12_07_2023 17_32_58
9,10,Báo cáo tài chính quý 1/ năm 2023,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 1 năm 2023 kèm giải trình,13/04/2023 13:52:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1/ năm 2023,./crawl_table/SBL/Báo cáo tài chính Quý 1 năm 2023 kèm giải trình_13_04_2023 13_52_00
10,11,Báo cáo tài chính Riêng năm 2022,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính năm 2022 đã kiểm toán, kèm giải trình,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng năm 2022,./crawl_table/SBL/Báo cáo tài chính năm 2022 đã kiểm toán_ kèm giải trình
11,12,Báo cáo tài chính quý 4/ năm 2022,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 4 năm 2022 kèm giải trình,16/01/2023 13:36:48,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4/ năm 2022,./crawl_table/SBL/Báo cáo tài chính Quý 4 năm 2022 kèm giải trình_16_01_2023 13_36_48
12,13,Báo cáo tài chính quý 3/ năm 2022,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 3 năm 2022 kèm giải trình,18/10/2022 14:31:43,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 3/ năm 2022,./crawl_table/SBL/Báo cáo tài chính Quý 3 năm 2022 kèm giải trình_18_10_2022 14_31_43
13,14,Báo cáo tài chính Riêng - Bán niên,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên soát xét 2022 kèm giải trình,12/08/2022 15:22:35,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Bán niên,./crawl_table/SBL/Báo cáo tài chính Riêng - Bán niên_12_08_2022 15_22_35
14,15,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 2 năm 2022 kèm giải trình,18/07/2022 15:55:57,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính Quý 2 năm 2022 kèm giải trình_18_07_2022 15_55_57
15,16,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Quý 1/2022 kèm giải trình,16/04/2022 14:46:21,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính Quý 1_2022 kèm giải trình_16_04_2022 14_46_21
16,17,Báo cáo tài chính Riêng - Năm,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính kiểm toán năm 2021 kèm giải trình,31/03/2022 12:07:35,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Năm,./crawl_table/SBL/Báo cáo tài chính Riêng - Năm_31_03_2022 12_07_35
17,18,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4/2021 kèm giải trình,18/01/2022 10:06:19,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính quý 4_2021 kèm giải trình_18_01_2022 10_06_19
18,19,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 3 kèm giải trình,19/10/2021 13:42:28,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính quý 3 kèm giải trình_19_10_2021 13_42_28
19,20,Báo cáo tài chính Riêng - Bán niên,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên soát xét 2021 kèm giải trình,09/08/2021 10:37:25,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Bán niên,./crawl_table/SBL/Báo cáo tài chính Riêng - Bán niên_09_08_2021 10_37_25
20,21,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 2/2021 kèm giải trình,20/07/2021 09:26:22,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính quý 2_2021 kèm giải trình_20_07_2021 09_26_22
21,22,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1/2021 kèm giải trình,19/04/2021 10:07:04,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính quý 1_2021 kèm giải trình_19_04_2021 10_07_04
22,23,Báo cáo tài chính Riêng - Năm,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính kiểm toán năm 2020 kèm giải trình,30/03/2021 09:51:36,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Năm,./crawl_table/SBL/Báo cáo tài chính Riêng - Năm_30_03_2021 09_51_36
23,24,Báo cáo tài chính Riêng - Quý,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4/2020 kèm giải trình,18/01/2021 10:18:35,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng - Quý,./crawl_table/SBL/Báo cáo tài chính quý 4_2020 kèm giải trình_18_01_2021 10_18_35
24,25,Báo cáo tài chính Riêng quý III/ 2020,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 3/2020 kèm giải trình,16/10/2020 10:34:00,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý III/ 2020,./crawl_table/SBL/Báo cáo tài chính quý 3_2020 kèm giải trình_16_10_2020 10_34_00
25,26,Báo cáo tài chính Riêng bán niên 2020,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên kèm giải trình,13/08/2020 14:54:42,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng bán niên 2020,./crawl_table/SBL/Báo cáo tài chính bán niên kèm giải trình_13_08_2020 14_54_42
26,27,Báo cáo tài chính Riêng quý II/ 2020,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 2/2020 kèm giải trình,17/07/2020 11:17:56,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý II/ 2020,./crawl_table/SBL/Báo cáo tài chính quý 2_2020 kèm giải trình_17_07_2020 11_17_56
27,28,Báo cáo tài chính Riêng quý I/ 2020,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1/2020 kèm giải trình,16/04/2020 17:55:29,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý I/ 2020,./crawl_table/SBL/Báo cáo tài chính quý 1_2020 kèm giải trình_16_04_2020 17_55_29
28,29,Báo cáo tài chính Riêng năm 2019,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính kiểm toán năm 2019 kèm giải trình,29/03/2020 14:53:32,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng năm 2019,./crawl_table/SBL/Báo cáo tài chính Riêng năm 2019_29_03_2020 14_53_32
29,30,Báo cáo tài chính Riêng quý IV/ 2019,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4.2019 đính kèm giải trình,16/01/2020 05:57:51,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý IV/ 2019,./crawl_table/SBL/Báo cáo tài chính quý 4.2019 đính kèm giải trình_16_01_2020 05_57_51
30,31,Báo cáo tài chính Riêng quý III/ 2019,CTCP Bia Sài Gòn - Bạc Liêu,BCTC quý 3/2019 kèm giải trình,17/10/2019 09:56:30,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý III/ 2019,./crawl_table/SBL/BCTC quý 3_2019 kèm giải trình_17_10_2019 09_56_30
31,32,Báo cáo tài chính Riêng bán niên 2019,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo kiểm toán bán niên 2019 kèm giải trình,13/08/2019 14:24:06,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng bán niên 2019,./crawl_table/SBL/Báo cáo kiểm toán bán niên 2019 kèm giải trình_13_08_2019 14_24_06
32,33,Báo cáo tài chính Riêng quý II/ 2019,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 2/2019 kèm giải trình,19/07/2019 08:19:52,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý II/ 2019,./crawl_table/SBL/Báo cáo tài chính quý 2_2019 kèm giải trình_19_07_2019 08_19_52
33,34,Báo cáo tài chính Riêng quý I/ 2019,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1/2019 đính kèm gải trình,16/04/2019 14:51:17,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý I/ 2019,./crawl_table/SBL/Báo cáo tài chính quý 1_2019 đính kèm gải trình_16_04_2019 14_51_17
34,35,Báo cáo tài chính Riêng năm 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo TC kiểm toán năm 2018 kèm giải trình,20/03/2019 16:06:22,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng năm 2018,./crawl_table/SBL/Báo cáo TC kiểm toán năm 2018 kèm giải trình_20_03_2019 16_06_22
35,36,Báo cáo tài chính Riêng quý IV/ 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 4/2018 kèm giải trình,18/01/2019 10:43:07,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý IV/ 2018,./crawl_table/SBL/Báo cáo tài chính quý 4_2018 kèm giải trình_18_01_2019 10_43_07
36,37,Báo cáo tài chính Riêng quý III/ 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Q3/2018 đính kèm giải trình,12/10/2018 11:31:29,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý III/ 2018,./crawl_table/SBL/Báo cáo tài chính Q3_2018 đính kèm giải trình_12_10_2018 11_31_29
37,38,Báo cáo tài chính Riêng bán niên 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính bán niên soát xét kèm giải trình,14/08/2018 10:33:22,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng bán niên 2018,./crawl_table/SBL/Báo cáo tài chính bán niên soát xét kèm giải trình_14_08_2018 10_33_22
38,39,Báo cáo tài chính Riêng quý II/ 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 2.2018 kèm giải trình,20/07/2018 08:38:03,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý II/ 2018,./crawl_table/SBL/Báo cáo tài chính quý 2.2018 kèm giải trình_20_07_2018 08_38_03
39,40,Báo cáo tài chính Riêng quý I/ 2018,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính quý 1.2018 kèm giải trình.,16/04/2018 11:01:57,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý I/ 2018,./crawl_table/SBL/Báo cáo tài chính quý 1.2018 kèm giải trình._16_04_2018 11_01_57
40,41,Báo cáo tài chính Riêng năm 2017,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo kiểm toán năm 2017 kèm giải trình,21/03/2018 17:01:52,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng năm 2017,./crawl_table/SBL/Báo cáo kiểm toán năm 2017 kèm giải trình_21_03_2018 17_01_52
41,42,Báo cáo tài chính Riêng quý IV/ 2017,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Q.4 kèm giải trình,18/01/2018 15:01:44,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý IV/ 2017,./crawl_table/SBL/Báo cáo tài chính Q.4 kèm giải trình_18_01_2018 15_01_44
42,43,Báo cáo tài chính Riêng quý I/ 2017,CTCP Bia Sài Gòn - Bạc Liêu,BCTC quy 1 nam 2017 kem giai trình chenh lech loi nhuan so cung ky 2016,20/04/2017 17:57:38,1900333973,CTCP Bia Sài Gòn - Bạc Liêu,Báo cáo tài chính Riêng quý I/ 2017,./crawl_table/SBL/Báo cáo tài chính Riêng quý I_ 2017_20_04_2017 17_57_38
