,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
22,23,Báo cáo tài chính hợp nhất quý 4/ năm 2022,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý IV năm 2022,30/01/2023 17:13:48,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 4/ năm 2022,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý IV năm 2022_30_01_2023 17_13_48
23,24,Báo cáo tài chính Mẹ - Quý 4/ 2022,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Quý IV năm 2022,30/01/2023 16:03:23,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý 4/ 2022,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Quý IV năm 2022_30_01_2023 16_03_23
24,25,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 3 năm 2022,28/10/2022 08:46:16,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 3 năm 2022_28_10_2022 08_46_16
25,26,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 3 năm 2022,28/10/2022 08:28:55,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Báo cáo tài chính riêng quý 3 năm 2022_28_10_2022 08_28_55
26,27,Báo cáo tài chính Hợp nhất - Bán niên,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất bán niên soát xet năm 2022,29/08/2022 17:52:44,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/AAA/Báo cáo tài chính hợp nhất bán niên soát xet năm 2022_29_08_2022 17_52_44
27,28,Báo cáo tài chính Mẹ - Bán niên,CTCP Nhựa An Phát Xanh,Báo cáo tài chính 6 tháng đầu năm 2022,29/08/2022 14:49:59,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Bán niên,./crawl_table/AAA/Báo cáo tài chính 6 tháng đầu năm 2022_29_08_2022 14_49_59
28,29,Báo cáo tài chính Mẹ - Quý 2/ 2022,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An phát Xanh: Báo cáo tài chính Riêng Quý II năm 2022 (kèm theo Công văn giải trình chênh lệch lợi nhuận sau thuế),27/07/2022 09:06:49,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý 2/ 2022,./crawl_table/AAA/Báo cáo tài chính Mẹ - Quý 2_ 2022_27_07_2022 09_06_49
29,30,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An phát Xanh: Báo cáo tài chính Hợp nhất Quý II năm 2022,26/07/2022 15:19:30,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An phát Xanh_ Báo cáo tài chính Hợp nhất Quý II năm 2022_26_07_2022 15_19_30
30,31,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 1 năm 2022,26/04/2022 14:43:03,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Báo cáo tài chính riêng quý 1 năm 2022_26_04_2022 14_43_03
31,32,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 1/2022,26/04/2022 14:34:15,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 1_2022_26_04_2022 14_34_15
32,33,Báo cáo tài chính hợp nhất năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2021 kiểm toán,30/03/2022 23:13:04,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2021,./crawl_table/AAA/Báo cáo tài chính hợp nhất năm 2021 kiểm toán_30_03_2022 23_13_04
33,34,Báo cáo tài chính Mẹ - Năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng năm 2021 kiểm toán,30/03/2022 15:52:36,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Năm 2021,./crawl_table/AAA/Báo cáo tài chính riêng năm 2021 kiểm toán_30_03_2022 15_52_36
34,35,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính quý IV năm 2021,27/01/2022 21:14:44,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Báo cáo tài chính quý IV năm 2021_27_01_2022 21_14_44
35,36,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý IV năm 2021,27/01/2022 16:03:56,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý IV năm 2021_27_01_2022 16_03_56
