,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
49,50,Báo cáo tài chính Hợp nhất quý III/ 2020,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 3 2020 Họp nhất,29/10/2020 11:11:31,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý III/ 2020,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý III_ 2020_29_10_2020 11_11_31
50,51,Báo cáo tài chính Riêng bán niên 2020,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính riêng soát xét bán niên năm 2020,29/08/2020 00:57:40,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng bán niên 2020,./crawl_table/SBV/Báo cáo tài chính Riêng bán niên 2020_29_08_2020 00_57_40
51,52,Báo cáo tài chính Hợp nhất bán niên 2020,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính hợp nhất soát xét bán niên 2020,29/08/2020 00:20:37,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất bán niên 2020,./crawl_table/SBV/Báo cáo tài chính Hợp nhất bán niên 2020_29_08_2020 00_20_37
52,53,Báo cáo tài chính Hợp nhất quý II/ 2020,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC quý 2 2020 hợp nhất,01/08/2020 22:59:51,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý II/ 2020,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý II_ 2020_01_08_2020 22_59_51
53,54,Báo cáo tài chính Riêng quý II/ 2020,CTCP Siam Brothers Việt Nam,Công ty Cp Siam Brothers VN công bố báo cáo tài chính quý 2 2020 Công ty mẹ,31/07/2020 22:38:31,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý II/ 2020,./crawl_table/SBV/Báo cáo tài chính Riêng quý II_ 2020_31_07_2020 22_38_31
54,55,Báo cáo tài chính Riêng quý I/ 2020,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers Vn công bố BCTC quý 1 2020 Công ty mẹ,30/04/2020 00:26:56,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý I/ 2020,./crawl_table/SBV/Báo cáo tài chính Riêng quý I_ 2020_30_04_2020 00_26_56
55,56,Báo cáo tài chính Hợp nhất quý I/ 2020,CTCP Siam Brothers Việt Nam,Công ty Cp Siam brothers VN công bố BCTC quý 1 2020 Hợp nhất,30/04/2020 00:17:58,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý I/ 2020,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý I_ 2020_30_04_2020 00_17_58
56,57,Báo cáo tài chính Hợp nhất năm 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo hợp nhất,09/04/2020 23:55:20,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất năm 2019,./crawl_table/SBV/Báo cáo tài chính Hợp nhất năm 2019_09_04_2020 23_55_20
57,58,Báo cáo tài chính Riêng năm 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo công ty mẹ,09/04/2020 23:51:52,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng năm 2019,./crawl_table/SBV/Báo cáo tài chính Riêng năm 2019_09_04_2020 23_51_52
58,59,Báo cáo tài chính Mẹ quý IV/ 2019,CTCP Siam Brothers Việt Nam,Công ty Cp Siam brothers VN công bố báo cáo tài chính quý 4 2019,23/01/2020 20:25:32,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Mẹ quý IV/ 2019,./crawl_table/SBV/Báo cáo tài chính Mẹ quý IV_ 2019_23_01_2020 20_25_32
